publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	platform_url	platform	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publiation_title_id	access_type	preceding_title_journal_id	journal_id	journal_title_history	monograph_parent_collection_title	zdb
Financialisation and the financial and economic crises : country studies /		9781785362385 (e-book)							https://www.elgaronline.com/view/9781785362378.xml|https://doi.org/10.4337/9781785362385				eep9781785362385		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Economic behaviour and taxation		9781784718640 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781784712198/9781784712198.xml|https://doi.org/10.4337/9781784718640				eep9781784718640		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016	319					P					
Economic forecasting : an Edward Elgar research review /		9781784718923 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781852788667/9781852788667.xml|https://doi.org/10.4337/9781784718923			Mills, Terence C.	eep9781784718923		fulltext		Edward Elgar Publishing Limited,	Monograph		2016						P					
Law and economics from an evolutionary perspective		9781785361302 (e-book)							https://www.elgaronline.com/view/9781785361296.xml|https://doi.org/10.4337/9781785361302			Atkinson, Glen W.	eep9781785361302		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
The great financial meltdown : systemic, conjunctural or policy-created? /		9781784716493 (e-book)							https://www.elgaronline.com/view/9781784716486.xml|https://doi.org/10.4337/9781784716493				eep9781784716493		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
The financialization response to economic disequilibria : European and Latin American experiences /		9781785364761 (e-book)							https://www.elgaronline.com/view/9781785364754.xml|https://doi.org/10.4337/9781785364761				eep9781785364761		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Handbook on biodiversity and ecosystem services in impact assessment		9781783478996 (e-book)							https://www.elgaronline.com/view/9781783478989.xml|https://doi.org/10.4337/9781783478996				eep9781783478996		fulltext		Edward Elgar Publishing, Inc.,	Monograph		2016						P					
Monopoly and competition policy : an Edward Elgar research review /		9781785360794 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781852787530/9781852787530.xml|https://doi.org/10.4337/9781785360794			Scherer, F. M.	eep9781785360794		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
The economics of climate-resilient development		9781785360312 (e-book)							https://www.elgaronline.com/view/9781785360305.xml|https://doi.org/10.4337/9781785360312				eep9781785360312		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Handbook on the history of economic analysis. : schools of thought in economics /		9781785367366 (e-book)							https://www.elgaronline.com/view/9781849801119.xml|https://doi.org/10.4337/9781785367366				eep9781785367366		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Takaful and Islamic cooperative finance : challenges and opportunities /		9781785363368 (e-book)							https://www.elgaronline.com/view/9781785363351.xml|https://doi.org/10.4337/9781785363368				eep9781785363368		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Rethinking economic evolution : essays on economic change and its theory /		9781785365072 (e-book)							https://www.elgaronline.com/view/9781848443044.xml|https://doi.org/10.4337/9781785365072			Witt, Ulrich.	eep9781785365072		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Handbook on the history of economic analysis. : great economists since Petty and Boisguilbert /		9781785366642 (e-book)							https://www.elgaronline.com/view/9781849801102.xml|https://doi.org/10.4337/9781785366642				eep9781785366642		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Handbook on the history of economic analysis. : developments in major fields of economics /		9781785365065 (e-book)							https://www.elgaronline.com/view/9781849801126.xml|https://doi.org/10.4337/9781785365065				eep9781785365065		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
The global south after the crisis : growth, inequality and development in the aftermath of the great recession /		9781783474318 (e-book)							https://www.elgaronline.com/view/9781783474301.xml|https://doi.org/10.4337/9781783474318				eep9781783474318		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
A brief history of political economy : tales of Marx, Keynes and Hayek /		9781785369056 (e-book)							https://www.elgaronline.com/view/9781785369049.xml|https://doi.org/10.4337/9781785369056			Magnusson, Lars,	eep9781785369056		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Economic catch-up and technological leapfrogging : the path to development and macroeconomic stability in Korea /		9781785367939 (e-book)							https://www.elgaronline.com/view/9781785367922.xml|https://doi.org/10.4337/9781785367939			Lee, Keun,	eep9781785367939		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
